id,name,isin,symbol,contractSize,productType,productTypeId,tradable,category,currency,exchangeId,onlyEodPrices,orderTimeTypes,buyOrderTypes,sellOrderTypes,productBitTypes,closePrice,closePriceDate,feedQuality,orderBookDepth,vwdIdentifierType,vwdId,qualitySwitchable,qualitySwitchFree,vwdModuleId,etfIssuerId,feeType,region,totalExpenseRatio,quoteCurrency,assetAllocation,administrator,benchmark,class,feedQualitySecondary,orderBookDepthSecondary,vwdIdentifierTypeSecondary,vwdIdSecondary,qualitySwitchableSecondary,qualitySwitchFreeSecondary,vwdModuleIdSecondary,strikePrice,expirationDate
12848808,BNPP.E.FR-S&P 500 UCITS ETF,FR0013041530,ESEH,1.0,ETF,131,True,H,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],13.947,2021-04-09,D15,0.0,issueid,485011717,False,False,25.0,6,1,United States,0.0,EUR,Shares,BNP Paribas Asset Management France,S&P 500 COMPOSITE (NR),EUR H,,,,,,,,,
1523182,SPDR BLOOM.BAR.EO H.Y.BD U.ETF,IE00B6YX5M31,SYBJ,1.0,ETF,131,True,F,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],57.47,2021-04-09,D15,0.0,issueid,480012962,False,False,25.0,58,1,*none*,0.4,EUR,Bonds,State Street Fund Services (Ireland) Limited,Bloomberg Barclays Liquidity Screened Euro High Yield Bond Index,*none*,,,,,,,,,
1744251,HSBC MSCI TURKEY,IE00B5BRQB73,HTR,1.0,ETF,131,True,A,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],1.5405,2021-04-09,R,0.0,issueid,360055580,False,False,1.0,35,1,Turkey,0.4,PNC,Shares,HSBC Investment Funds (Luxembourg) S.A.,*none*,USD,,,,,,,,,
867343,LYX.JAPAN(TOPIX)(DR)UCITS ETF,FR0010245514,JPN,1.0,ETF,131,True,H,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],146.0,2021-04-09,R,0.0,issueid,365023356,False,False,1.0,42,2,Japan,0.45,PNC,Shares,Lyxor International Asset Management S.A.S.,Topix Total Return Index JPY,Dist,,,,,,,,-0.0001,
867241,Lyxor DJ Global Titans 50 UCITS ETF Dist,FR0007075494,MGT,1.0,ETF,131,True,H,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],51.119,2021-04-09,R,0.0,issueid,360190092,False,False,1.0,42,1,Worldwide,0.4,USD,Shares,Lyxor International Asset Management S.A.S.,Dow Jones Global Titans 50 EUR,D-EUR,,,,,,,,-0.0001,
12184620,MUL-L.EO 2-10Y INF.EXPECT.U.E.,LU1390062245,EUIN,1.0,ETF,131,True,F,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],96.66,2021-04-09,D15,0.0,issueid,485011634,False,False,25.0,42,1,*none*,0.25,PNC,Derivatives,Lyxor International Asset Management S.A.S.,Markit iBoxx EUR Breakeven Euro-Inflation France & Germany Index Nominal TRI,C,,,,,,,,,
4622365,SPDR DOW JONES GLB.RL EST.ETF,IE00B8GF1M35,GLRE,1.0,ETF,131,True,H,EUR,608,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLIMIT']",[],30.975,2021-04-09,D15,0.0,issueid,300100282,True,False,12.0,58,1,*none*,0.4,GBP,Real Estate,State Street Fund Services (Ireland) Limited,Dow Jones Global Select Real Estate Securities Index,*none*,,,,,,,,,
5414141,SPDR MSCI EUR.HEALTH CARE UETF,IE00BKWQ0H23,SPYH,1.0,ETF,131,True,H,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],160.22,2021-04-09,D15,0.0,issueid,480011959,False,False,25.0,58,1,Worldwide,0.3,EUR,Shares,State Street Fund Services (Ireland) Limited,MSCI Europe Health Care 35/20 Capped Index,*none*,,,,,,,,,
15163609,HAN-GINS CLOUD TECHNOLOGY UCITS ETF,IE00BDDRF924,SKYY,1.0,ETF,131,True,D,EUR,608,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLIMIT']",[],10.69,2021-04-09,D15,0.0,issueid,450272057,True,False,12.0,181,1,Worldwide,0.0,GBX,Shares,HANetf Management Limited,*none*,*none*,,,,,,,,,
10639910,iShares   Aggregate Bond UCITS ETF EUR (Dist),IE00B3DKXQ41,EUN4,1.0,ETF,131,True,F,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],127.545,2021-04-09,D15,0.0,issueid,480174440,False,False,25.0,39,1,*none*,0.25,EUR,Bonds,BlackRock Asset Management Ireland Ltd,Barclays Euro Aggregate Bond Index,EUR (Dist),,,,,,,,,
13408594,FIDELITY GL.QUALITY INCOME ETF,IE00BYXVGZ48,FGEQ,1.0,ETF,131,True,H,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],6.33,2021-04-09,D15,0.0,issueid,485011849,False,False,25.0,25,1,*none*,0.4,GBX,*none*,FIL Fund Management (Ireland) Ltd,*none*,INC - USD,,,,,,,,,
5678842,"Accion Eurostoxx 50 ETF, FI Cotizado Armonizado",ES0105321030,BBVAE,1.0,ETF,131,True,H,EUR,590,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],39.895,2021-04-09,D15,0.0,issueid,280099275,True,False,8.0,72,1,*none*,,*none*,*none*,*none*,*none*,*none*,D15,0.0,issueid,280099275,True,False,8.0,,
4622989,Xtrackers MSCI Europe UCITS ETF 1C,LU0274209237,XMEU,1.0,ETF,131,True,H,EUR,608,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLIMIT']",[],68.65,2021-04-09,D15,0.0,issueid,300099480,True,False,12.0,13,1,Europe,0.12,PNC,Shares,DWS Investment S.A.,MSCI Europe Index,1,,,,,,,,,
18268631,Rize Sustainable Future of Food UCITS ETF USD Acc (RIZE ETF ICAV),IE00BLRPQH31,ESSN,1.0,ETF,131,True,A,CHF,947,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],5.735,2021-04-09,D15,0.0,issueid,490175283,False,False,18.0,181,1,Worldwide,0.0,EUR,Shares,Davy Global Fund Management Limited,*none*,USD Accumulating ETF,,,,,,,,,
