id,name,isin,symbol,contractSize,productType,productTypeId,tradable,category,currency,exchangeId,onlyEodPrices,orderTimeTypes,buyOrderTypes,sellOrderTypes,productBitTypes,closePrice,closePriceDate,feedQuality,orderBookDepth,vwdIdentifierType,vwdId,qualitySwitchable,qualitySwitchFree,vwdModuleId,strikePrice,expirationDate
8067873,"OAT1,50%25MAI2031",FR0012993103,ETAMP,0.01,BOND,2,True,F,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],115.877,2021-04-09,R,0.0,issueid,590709825,False,False,1.0,,25-5-2031
1783066,CA4%29JUNE2021,FR0011261080,ACAGW,0.01,BOND,2,True,D,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],100.93,2021-04-09,R,0.0,issueid,360102987,False,False,1.0,,29-6-2021
16117066,"TAP 4,375% 23JUN23",PTTAPBOM0007,BTAPB,0.01,BOND,2,True,D,EUR,560,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],84.06,2021-04-09,R,0.0,issueid,240260474,False,False,1.0,,23-6-2023
11725529,EDF1%13OCT2026,FR0013213295,EDFBJ,0.01,BOND,2,True,B,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS']","['LIMIT', 'MARKET', 'STOPLOSS']",[],102.239,2021-04-09,R,0.0,issueid,590836281,False,False,1.0,,13-10-2026
16693586,CORESTATE C.HDLG 18/23,DE000A19YDA9,CCAB,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],88.1,2021-04-09,R,0.0,issueid,600062867,False,False,25.0,,15-4-2023
1524468,BUNDANL.V. 10/20,DE0001135408,BB40,0.01,BOND,2,True,D,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],100.011,2020-07-02,,,,,,,,,4-7-2020
13928187,TOTCIN1.375%OCT29,XS1693818525,TCIBP,0.01,BOND,2,True,A,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],109.928,2021-04-09,R,0.0,issueid,590959083,False,False,1.0,,4-10-2029
8925979,UBM DEVELOPMENT 15/20 FLR,DE000A18UQM6,2U2A,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']",[],99.01,2020-12-08,R,0.0,issueid,150079718,False,False,25.0,,9-12-2020
13017418,ERSTE GP BNK 17-27 FLR,AT0000A1QE42,AT0000A1QE42,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],102.65,2021-04-09,R,0.0,issueid,150091869,False,False,25.0,,1-2-2027
876022,CRLYTSDIFRN29NOV49,FR0000584997,FR0000584997,0.01,BOND,2,True,D,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],88.03,2021-04-09,R,0.0,issueid,560177920,False,False,1.0,-0.0001,
5608250,GRIECHENLAND 12-33 11,GR0138005716,GR0138005716,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']",[],131.32,2021-04-09,R,0.0,issueid,150047033,False,False,25.0,,24-2-2033
14123078,ABERTIS INFRA. 16-27,ES0211845310,,0.01,BOND,2,True,B,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],102.665,2021-04-09,R,0.0,issueid,150090543,False,False,25.0,,27-2-2027
