,nombre,renta_media_disponible,Codigo_postal
650, El Palmar ,19.803,30120
651, El Raal ,17.346,30139
652, La Alberca ,23.218,30150
653, Santo Angel ,24.589,30151
654, Aljucer ,20.415,30152
655, Corvera La Murta Los Garcías ,17.623,30153
656, Algezares ,19.812,30157
657, Garres y Lagues ,18.845,30158
658, Las Lumbreras Monteagudo La Cueva ,18.008,30160
659, Llano de Brujas ,18.09,30161
660, Santa Cruz ,18.245,30162
661, El Esparragal ,21.434,30163
662, Nonduermas ,18.641,30166
663, Era Alta ,19.286,30168
664, San Ginés ,18.107,30169
665, Beniajan ,18.599,30570
666, Torreagüera ,17.809,30579
667, Alquerías ,16.259,30580
668, Los Ramos ,16.085,30589
669, Gea y Truyols ,15.925,30590
670, La Ñora ,24.177,30830
671, Jabalí Nuevo ,19.417,30832
672, Sangonera La Verde ,17.896,30833
673, Cañada Hermosa ,19.267,30835
674,resto Murcia,18.605,308
675, Logroño ,23.959,26089
676, Casco Antiguo ,27.975,26001
677, Centro ,24.444,26002
678, El Carmen  Cascajos   ,24.68,26003
679, San José   Los Lirios   ,20.668,26004
680, Carretera del Cortijo  El Cubo  Zona Oeste(AVEZO) ,22.028,26005
681, Varea   La Portalada   ,23.466,26006
682, La Cava Fardachón Las Gaunas Siete Infantes   ,26.713,26007
683, San Adrián  La Cava   ,26.425,26008
684, El Campillo  Polígono Cantabria  ,22.568,26009
685,resto Logroño,22.503,26
