,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
0,qvAtonLNW9hT3zkE-8zF2A,bodega-biarritz-1881-barcelona,Bodega Biarritz 1881,https://s3-media0.fl.yelpcdn.com/bphoto/zpE0zpHNuZk_nAwnsZTNsA/o.jpg,False,https://www.yelp.com/biz/bodega-biarritz-1881-barcelona?adjust_creative=56tMv8Oeq8QD6pC-p_IovA&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=56tMv8Oeq8QD6pC-p_IovA,90,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'spanish', 'title': 'Spanish'}]",4.5,[],€€,+34618677927,+34 618 67 79 27,41.379771,2.176196,"Carrer del Vidre, 8",,,Barcelona,08002,ES,B,"['Carrer del Vidre, 8', '08002 Barcelona', 'Spain']"
1,5IrOyJvyCA4IImq08n_sDQ,bodega-biarritz-barcelona,Bodega Biarritz,https://s3-media0.fl.yelpcdn.com/bphoto/Dem2QUqDYZaCz2m5uh0gtQ/o.jpg,False,https://www.yelp.com/biz/bodega-biarritz-barcelona?adjust_creative=56tMv8Oeq8QD6pC-p_IovA&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=56tMv8Oeq8QD6pC-p_IovA,6,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,[],,+34618677927,+34 618 67 79 27,41.37924,2.17701,"Carrer Nou De Sant Francesc, 7",,,Barcelona,08002,ES,B,"['Carrer Nou De Sant Francesc, 7', '08002 Barcelona', 'Spain']"
