,id,name,url,review_count,categories,rating,phone,coordinates.latitude,coordinates.longitude,location.address1,location.city,location.zip_code,location.country,location.state
0,qvAtonLNW9hT3zkE-8zF2A,Bodega Biarritz 1881,https://www.yelp.com/biz/bodega-biarritz-1881-barcelona?adjust_creative=56tMv8Oeq8QD6pC-p_IovA&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=56tMv8Oeq8QD6pC-p_IovA,90,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'spanish', 'title': 'Spanish'}]",4.5,34618677927,41.379771000000005,2.176196,"Carrer del Vidre, 8",Barcelona,8002,ES,B
1,5IrOyJvyCA4IImq08n_sDQ,Bodega Biarritz,https://www.yelp.com/biz/bodega-biarritz-barcelona?adjust_creative=56tMv8Oeq8QD6pC-p_IovA&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=56tMv8Oeq8QD6pC-p_IovA,6,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,34618677927,41.37924,2.1770099999999997,"Carrer Nou De Sant Francesc, 7",Barcelona,8002,ES,B
