0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(10),55.56%(9),20.0%(5),60.0%(10),46.15%(13),75.0%(8),50.0%(8),50.0%(2),20.0%(5),53.33%(15),50.59%(85)
Rogue,44.44%(9),50.0%(54),33.33%(15),53.33%(45),35.19%(54),59.26%(27),65.52%(29),100.0%(3),68.42%(19),50.0%(36),50.86%(291)
Mage,80.0%(5),66.67%(15),50.0%(2),33.33%(9),40.0%(15),28.57%(7),36.36%(11),100.0%(2),55.56%(9),52.94%(17),50.0%(92)
Druid,40.0%(10),46.67%(45),66.67%(9),50.0%(32),58.97%(39),42.11%(19),30.43%(23),-,46.67%(15),16.67%(18),45.24%(210)
Demonhunter,53.85%(13),64.81%(54),60.0%(15),41.03%(39),50.0%(46),58.06%(31),44.9%(49),100.0%(1),56.0%(25),37.5%(24),51.85%(297)
Hunter,25.0%(8),40.74%(27),71.43%(7),57.89%(19),41.94%(31),50.0%(22),48.28%(29),50.0%(4),40.0%(25),50.0%(14),46.24%(186)
Priest,50.0%(8),34.48%(29),63.64%(11),69.57%(23),55.1%(49),51.72%(29),50.0%(18),33.33%(6),26.92%(26),52.0%(25),49.11%(224)
Shaman,50.0%(2),0.0%(3),0.0%(2),-,0.0%(1),50.0%(4),66.67%(6),-,0.0%(2),50.0%(2),36.36%(22)
Warlock,80.0%(5),31.58%(19),44.44%(9),53.33%(15),44.0%(25),60.0%(25),73.08%(26),100.0%(2),50.0%(22),61.11%(18),54.82%(166)
Warrior,46.67%(15),50.0%(36),47.06%(17),83.33%(18),62.5%(24),50.0%(14),48.0%(25),50.0%(2),38.89%(18),50.0%(38),52.66%(207)
