0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(12),35.0%(20),55.56%(9),62.96%(54),63.16%(19),45.45%(11),39.53%(43),83.33%(6),42.11%(19),48.57%(35),50.88%(228)
Rogue,65.0%(20),50.0%(54),56.76%(37),45.26%(95),38.46%(26),44.83%(29),46.15%(65),77.78%(9),66.67%(21),37.14%(35),48.85%(391)
Mage,44.44%(9),43.24%(37),50.0%(46),50.55%(91),34.48%(29),25.0%(16),50.0%(60),57.14%(7),52.17%(23),36.84%(38),45.79%(356)
Druid,37.04%(54),54.74%(95),49.45%(91),50.0%(238),57.89%(57),61.22%(49),46.03%(126),66.67%(24),50.0%(58),50.81%(124),50.76%(916)
Demonhunter,36.84%(19),61.54%(26),65.52%(29),42.11%(57),50.0%(20),30.77%(13),43.18%(44),60.0%(5),64.71%(17),33.33%(24),47.64%(254)
Hunter,54.55%(11),55.17%(29),75.0%(16),38.78%(49),69.23%(13),50.0%(10),41.82%(55),66.67%(3),69.23%(13),50.0%(16),50.7%(215)
Priest,60.47%(43),53.85%(65),50.0%(60),53.97%(126),56.82%(44),58.18%(55),50.0%(60),33.33%(12),39.02%(41),53.12%(64),52.63%(570)
Shaman,16.67%(6),22.22%(9),42.86%(7),33.33%(24),40.0%(5),33.33%(3),66.67%(12),-,50.0%(2),80.0%(5),41.1%(73)
Warlock,57.89%(19),33.33%(21),47.83%(23),50.0%(58),35.29%(17),30.77%(13),60.98%(41),50.0%(2),50.0%(18),36.0%(25),47.26%(237)
Warrior,51.43%(35),62.86%(35),63.16%(38),49.19%(124),66.67%(24),50.0%(16),46.88%(64),20.0%(5),64.0%(25),50.0%(66),53.01%(432)
