0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(34),56.25%(16),41.67%(12),44.12%(68),58.33%(24),64.29%(14),42.86%(35),70.0%(10),46.15%(13),44.44%(27),49.01%(253)
Rogue,43.75%(16),50.0%(18),62.5%(8),27.78%(36),72.22%(18),50.0%(8),52.0%(25),100.0%(1),62.5%(8),46.67%(15),48.37%(153)
Mage,58.33%(12),37.5%(8),-,32.26%(31),42.86%(14),0.0%(2),45.45%(11),33.33%(3),72.73%(11),9.09%(11),39.81%(103)
Druid,55.88%(68),72.22%(36),67.74%(31),50.0%(96),59.46%(37),58.82%(17),48.0%(50),36.36%(11),28.57%(14),61.7%(47),55.53%(407)
Demonhunter,41.67%(24),27.78%(18),57.14%(14),40.54%(37),50.0%(16),68.75%(16),37.04%(27),100.0%(2),77.78%(9),23.08%(13),44.89%(176)
Hunter,35.71%(14),50.0%(8),100.0%(2),41.18%(17),31.25%(16),50.0%(8),28.57%(14),0.0%(1),25.0%(4),75.0%(12),42.71%(96)
Priest,57.14%(35),48.0%(25),54.55%(11),52.0%(50),62.96%(27),71.43%(14),50.0%(18),42.86%(7),33.33%(12),59.38%(32),54.55%(231)
Shaman,30.0%(10),0.0%(1),66.67%(3),63.64%(11),0.0%(2),100.0%(1),57.14%(7),-,0.0%(1),0.0%(3),43.59%(39)
Warlock,53.85%(13),37.5%(8),27.27%(11),71.43%(14),22.22%(9),75.0%(4),66.67%(12),100.0%(1),-,55.56%(9),51.85%(81)
Warrior,55.56%(27),53.33%(15),90.91%(11),38.3%(47),76.92%(13),25.0%(12),40.62%(32),100.0%(3),44.44%(9),50.0%(36),49.76%(205)
