0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(6),29.41%(17),47.06%(17),45.71%(35),61.11%(18),25.0%(4),50.0%(20),0.0%(1),21.43%(14),46.67%(30),43.83%(162)
Rogue,70.59%(17),50.0%(34),47.37%(19),51.02%(49),38.89%(18),44.44%(9),36.84%(38),100.0%(2),33.33%(15),38.89%(18),46.58%(219)
Mage,52.94%(17),52.63%(19),50.0%(22),49.12%(57),33.33%(12),60.0%(5),37.93%(29),100.0%(1),37.5%(16),25.93%(27),43.9%(205)
Druid,54.29%(35),48.98%(49),50.88%(57),50.0%(66),58.14%(43),45.45%(22),50.0%(50),83.33%(6),62.96%(27),47.27%(55),51.95%(410)
Demonhunter,38.89%(18),61.11%(18),66.67%(12),41.86%(43),50.0%(18),75.0%(4),38.24%(34),0.0%(3),88.89%(9),53.33%(15),48.85%(174)
Hunter,75.0%(4),55.56%(9),40.0%(5),54.55%(22),25.0%(4),-,62.5%(16),100.0%(1),20.0%(5),37.5%(8),51.35%(74)
Priest,50.0%(20),63.16%(38),62.07%(29),50.0%(50),61.76%(34),37.5%(16),50.0%(24),50.0%(2),23.33%(30),59.46%(37),52.14%(280)
Shaman,100.0%(1),0.0%(2),0.0%(1),16.67%(6),100.0%(3),0.0%(1),50.0%(2),-,0.0%(2),66.67%(3),38.1%(21)
Warlock,78.57%(14),66.67%(15),62.5%(16),37.04%(27),11.11%(9),80.0%(5),76.67%(30),100.0%(2),50.0%(6),50.0%(6),59.23%(130)
Warrior,53.33%(30),61.11%(18),74.07%(27),52.73%(55),46.67%(15),62.5%(8),40.54%(37),33.33%(3),50.0%(6),50.0%(50),53.01%(249)
