0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(2),28.57%(7),0.0%(4),28.57%(7),50.0%(2),60.0%(5),60.0%(5),100.0%(1),60.0%(5),100.0%(3),46.34%(41)
Rogue,71.43%(7),50.0%(68),58.62%(29),51.47%(68),45.45%(44),68.97%(29),58.62%(29),0.0%(1),50.0%(30),51.22%(41),53.18%(346)
Mage,100.0%(4),41.38%(29),50.0%(22),48.65%(37),70.0%(20),30.77%(13),78.26%(23),-,42.86%(14),41.67%(24),52.15%(186)
Druid,71.43%(7),48.53%(68),51.35%(37),50.0%(42),62.79%(43),47.83%(23),41.18%(34),100.0%(2),33.33%(24),61.76%(34),51.27%(314)
Demonhunter,50.0%(2),54.55%(44),30.0%(20),37.21%(43),50.0%(36),69.23%(13),48.15%(27),-,63.16%(19),60.0%(30),50.0%(234)
Hunter,40.0%(5),31.03%(29),69.23%(13),52.17%(23),30.77%(13),50.0%(8),60.0%(15),-,44.44%(18),43.75%(16),45.71%(140)
Priest,40.0%(5),41.38%(29),21.74%(23),58.82%(34),51.85%(27),40.0%(15),50.0%(26),0.0%(1),20.0%(15),61.54%(26),45.27%(201)
Shaman,0.0%(1),100.0%(1),-,0.0%(2),-,-,100.0%(1),-,100.0%(1),0.0%(1),42.86%(7)
Warlock,40.0%(5),50.0%(30),57.14%(14),66.67%(24),36.84%(19),55.56%(18),80.0%(15),0.0%(1),50.0%(6),55.56%(9),55.32%(141)
Warrior,0.0%(3),48.78%(41),58.33%(24),38.24%(34),40.0%(30),56.25%(16),38.46%(26),100.0%(1),44.44%(9),50.0%(44),46.05%(228)
