0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(12),30.43%(23),19.05%(21),50.91%(55),38.89%(18),64.29%(14),41.18%(34),66.67%(3),53.33%(15),50.0%(38),44.64%(233)
Rogue,69.57%(23),50.0%(38),48.78%(41),45.45%(99),61.9%(21),50.0%(28),47.27%(55),50.0%(6),55.56%(27),42.5%(40),49.74%(378)
Mage,80.95%(21),51.22%(41),50.0%(44),40.0%(80),68.18%(22),48.15%(27),50.0%(58),50.0%(6),27.27%(22),39.13%(46),47.96%(367)
Druid,49.09%(55),54.55%(99),60.0%(80),50.0%(272),55.1%(49),53.12%(32),41.01%(139),45.45%(22),48.1%(79),46.72%(137),49.59%(964)
Demonhunter,61.11%(18),38.1%(21),31.82%(22),44.9%(49),50.0%(14),88.89%(9),44.83%(29),50.0%(2),50.0%(16),45.83%(24),47.06%(204)
Hunter,35.71%(14),50.0%(28),51.85%(27),46.88%(32),11.11%(9),50.0%(16),29.63%(27),25.0%(4),0.0%(2),43.48%(23),41.76%(182)
Priest,58.82%(34),52.73%(55),50.0%(58),58.99%(139),55.17%(29),70.37%(27),50.0%(56),83.33%(6),47.73%(44),50.79%(63),54.99%(511)
Shaman,33.33%(3),50.0%(6),50.0%(6),54.55%(22),50.0%(2),75.0%(4),16.67%(6),-,50.0%(4),60.0%(5),50.0%(58)
Warlock,46.67%(15),44.44%(27),72.73%(22),51.9%(79),50.0%(16),100.0%(2),52.27%(44),50.0%(4),50.0%(22),32.26%(31),50.38%(262)
Warrior,50.0%(38),57.5%(40),60.87%(46),53.28%(137),54.17%(24),56.52%(23),49.21%(63),40.0%(5),67.74%(31),50.0%(106),53.8%(513)
