0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(12),40.74%(27),35.71%(28),53.19%(47),46.15%(13),64.29%(14),33.33%(21),50.0%(4),35.0%(20),54.29%(35),46.15%(221)
Rogue,59.26%(27),50.0%(56),42.86%(42),49.41%(85),57.69%(26),54.55%(22),41.94%(62),50.0%(4),75.0%(16),35.29%(34),48.93%(374)
Mage,64.29%(28),57.14%(42),50.0%(22),48.0%(75),52.17%(23),64.29%(14),43.75%(32),85.71%(7),36.36%(22),45.0%(40),51.15%(305)
Druid,46.81%(47),50.59%(85),52.0%(75),50.0%(172),44.9%(49),42.86%(35),40.51%(79),73.33%(15),44.23%(52),51.49%(101),48.59%(710)
Demonhunter,53.85%(13),42.31%(26),47.83%(23),55.1%(49),50.0%(22),46.15%(13),42.86%(35),88.89%(9),50.0%(16),45.45%(22),50.0%(228)
Hunter,35.71%(14),45.45%(22),35.71%(14),57.14%(35),53.85%(13),50.0%(4),64.71%(17),75.0%(4),30.0%(10),33.33%(12),48.28%(145)
Priest,66.67%(21),58.06%(62),56.25%(32),59.49%(79),57.14%(35),35.29%(17),50.0%(16),50.0%(6),44.12%(34),47.5%(40),54.39%(342)
Shaman,50.0%(4),50.0%(4),14.29%(7),26.67%(15),11.11%(9),25.0%(4),50.0%(6),-,33.33%(3),75.0%(4),32.14%(56)
Warlock,65.0%(20),25.0%(16),63.64%(22),55.77%(52),50.0%(16),70.0%(10),55.88%(34),66.67%(3),50.0%(14),30.0%(20),52.66%(207)
Warrior,45.71%(35),64.71%(34),55.0%(40),48.51%(101),54.55%(22),66.67%(12),52.5%(40),25.0%(4),70.0%(20),50.0%(62),52.97%(370)
