0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(10),41.67%(12),37.5%(8),44.12%(34),36.36%(11),33.33%(9),71.43%(7),-,60.0%(5),56.0%(25),47.11%(121)
Rogue,58.33%(12),50.0%(16),77.78%(9),42.55%(47),58.33%(24),60.0%(5),56.52%(23),40.0%(5),42.86%(7),40.0%(25),50.29%(173)
Mage,62.5%(8),22.22%(9),50.0%(2),57.69%(26),46.67%(15),0.0%(1),44.44%(9),100.0%(1),0.0%(1),38.1%(21),46.24%(93)
Druid,55.88%(34),57.45%(47),42.31%(26),50.0%(66),51.06%(47),46.43%(28),40.48%(42),55.56%(18),60.0%(20),74.58%(59),54.26%(387)
Demonhunter,63.64%(11),41.67%(24),53.33%(15),48.94%(47),50.0%(18),60.0%(10),30.0%(30),100.0%(6),40.0%(10),25.0%(12),46.45%(183)
Hunter,66.67%(9),40.0%(5),100.0%(1),53.57%(28),40.0%(10),50.0%(8),61.11%(18),50.0%(2),100.0%(2),33.33%(12),52.63%(95)
Priest,28.57%(7),43.48%(23),55.56%(9),59.52%(42),70.0%(30),38.89%(18),50.0%(16),83.33%(6),42.86%(14),67.92%(53),57.34%(218)
Shaman,-,60.0%(5),0.0%(1),44.44%(18),0.0%(6),50.0%(2),16.67%(6),-,33.33%(3),50.0%(8),36.73%(49)
Warlock,40.0%(5),57.14%(7),100.0%(1),40.0%(20),60.0%(10),0.0%(2),57.14%(14),66.67%(3),50.0%(2),12.5%(8),45.83%(72)
Warrior,44.0%(25),60.0%(25),61.9%(21),25.42%(59),75.0%(12),66.67%(12),32.08%(53),50.0%(8),87.5%(8),50.0%(62),45.61%(285)
