0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(8),34.78%(23),42.86%(7),68.75%(16),52.63%(19),61.54%(13),58.33%(12),100.0%(2),65.22%(23),45.45%(22),53.79%(145)
Rogue,65.22%(23),50.0%(148),53.49%(43),44.79%(96),37.63%(93),52.5%(40),62.96%(81),58.82%(17),66.67%(42),37.04%(54),50.24%(637)
Mage,57.14%(7),46.51%(43),50.0%(30),46.43%(28),34.62%(26),33.33%(9),56.0%(25),66.67%(3),58.82%(17),50.0%(26),48.13%(214)
Druid,31.25%(16),55.21%(96),53.57%(28),50.0%(78),52.63%(76),45.0%(40),43.1%(58),83.33%(6),33.33%(45),41.43%(70),47.56%(513)
Demonhunter,47.37%(19),62.37%(93),65.38%(26),47.37%(76),50.0%(56),68.75%(32),48.21%(56),57.14%(7),60.0%(45),50.0%(46),55.04%(456)
Hunter,38.46%(13),47.5%(40),66.67%(9),55.0%(40),31.25%(32),50.0%(30),54.29%(35),50.0%(2),42.86%(21),50.0%(26),47.98%(248)
Priest,41.67%(12),37.04%(81),44.0%(25),56.9%(58),51.79%(56),45.71%(35),50.0%(38),60.0%(5),30.0%(40),50.0%(56),45.81%(406)
Shaman,0.0%(2),41.18%(17),33.33%(3),16.67%(6),42.86%(7),50.0%(2),40.0%(5),50.0%(4),66.67%(3),55.56%(9),41.38%(58)
Warlock,34.78%(23),33.33%(42),41.18%(17),66.67%(45),40.0%(45),57.14%(21),70.0%(40),33.33%(3),50.0%(30),45.71%(35),49.5%(301)
Warrior,54.55%(22),62.96%(54),50.0%(26),58.57%(70),50.0%(46),50.0%(26),50.0%(56),44.44%(9),54.29%(35),50.0%(48),53.83%(392)
