0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(14),34.48%(29),56.25%(16),52.27%(44),50.0%(20),46.67%(15),39.29%(28),80.0%(5),23.08%(13),50.0%(34),46.33%(218)
Rogue,65.52%(29),50.0%(46),36.67%(30),50.0%(92),62.96%(27),47.06%(17),41.51%(53),87.5%(8),45.45%(33),48.65%(37),50.0%(372)
Mage,43.75%(16),63.33%(30),50.0%(16),53.06%(49),35.0%(20),40.0%(10),51.61%(31),80.0%(5),41.67%(24),39.39%(33),48.72%(234)
Druid,47.73%(44),50.0%(92),46.94%(49),50.0%(104),46.15%(52),38.89%(36),50.0%(74),55.56%(9),44.23%(52),45.83%(72),47.6%(584)
Demonhunter,50.0%(20),37.04%(27),65.0%(20),53.85%(52),50.0%(18),53.85%(13),50.0%(26),0.0%(3),81.25%(16),81.48%(27),56.31%(222)
Hunter,53.33%(15),52.94%(17),60.0%(10),61.11%(36),46.15%(13),50.0%(12),52.0%(25),0.0%(1),33.33%(9),65.0%(20),54.43%(158)
Priest,60.71%(28),58.49%(53),48.39%(31),50.0%(74),50.0%(26),48.0%(25),50.0%(28),100.0%(1),33.33%(39),56.41%(39),50.87%(344)
Shaman,20.0%(5),12.5%(8),20.0%(5),44.44%(9),100.0%(3),100.0%(1),0.0%(1),50.0%(4),33.33%(3),66.67%(6),40.0%(45)
Warlock,76.92%(13),54.55%(33),58.33%(24),55.77%(52),18.75%(16),66.67%(9),66.67%(39),66.67%(3),50.0%(32),6.25%(16),52.74%(237)
Warrior,50.0%(34),51.35%(37),60.61%(33),54.17%(72),18.52%(27),35.0%(20),43.59%(39),33.33%(6),93.75%(16),50.0%(38),49.69%(322)
