0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(10),36.0%(25),50.0%(14),43.08%(65),52.94%(17),63.16%(19),41.03%(39),53.85%(13),13.33%(15),49.09%(55),44.85%(272)
Rogue,64.0%(25),50.0%(82),45.65%(46),46.56%(131),59.46%(37),46.43%(28),51.65%(91),62.5%(16),57.78%(45),44.44%(63),50.53%(564)
Mage,50.0%(14),54.35%(46),50.0%(24),45.78%(83),52.94%(17),41.18%(17),57.14%(56),58.33%(12),52.63%(19),40.62%(32),50.0%(320)
Druid,56.92%(65),53.44%(131),54.22%(83),50.0%(202),49.3%(71),56.9%(58),44.63%(121),70.0%(20),43.42%(76),48.06%(129),50.63%(956)
Demonhunter,47.06%(17),40.54%(37),47.06%(17),50.7%(71),50.0%(18),71.43%(14),37.21%(43),62.5%(8),64.29%(28),58.06%(31),50.35%(284)
Hunter,36.84%(19),53.57%(28),58.82%(17),43.1%(58),28.57%(14),50.0%(22),57.5%(40),75.0%(4),62.96%(27),42.11%(19),49.6%(248)
Priest,58.97%(39),48.35%(91),42.86%(56),55.37%(121),62.79%(43),42.5%(40),50.0%(52),55.0%(20),30.91%(55),46.97%(66),49.23%(583)
Shaman,46.15%(13),37.5%(16),41.67%(12),30.0%(20),37.5%(8),25.0%(4),45.0%(20),50.0%(4),60.0%(5),46.15%(13),40.87%(115)
Warlock,86.67%(15),42.22%(45),47.37%(19),56.58%(76),35.71%(28),37.04%(27),69.09%(55),40.0%(5),50.0%(26),47.83%(23),52.66%(319)
Warrior,50.91%(55),55.56%(63),59.38%(32),51.94%(129),41.94%(31),57.89%(19),53.03%(66),53.85%(13),52.17%(23),50.0%(84),52.23%(515)
