0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(2),40.0%(5),50.0%(4),57.14%(7),69.23%(13),63.64%(11),20.0%(5),100.0%(1),0.0%(1),28.57%(7),51.79%(56)
Rogue,60.0%(5),50.0%(46),48.28%(29),47.62%(42),37.84%(37),39.47%(38),55.56%(18),50.0%(4),66.67%(3),40.91%(22),45.9%(244)
Mage,50.0%(4),51.72%(29),50.0%(28),50.0%(26),42.11%(38),25.0%(20),55.56%(18),50.0%(2),50.0%(2),53.85%(13),46.67%(180)
Druid,42.86%(7),52.38%(42),50.0%(26),50.0%(64),45.0%(60),51.61%(31),45.83%(24),50.0%(2),55.56%(9),63.64%(22),50.17%(287)
Demonhunter,30.77%(13),62.16%(37),57.89%(38),55.0%(60),50.0%(62),59.46%(37),67.5%(40),28.57%(14),33.33%(3),48.84%(43),54.18%(347)
Hunter,36.36%(11),60.53%(38),75.0%(20),48.39%(31),40.54%(37),50.0%(34),45.45%(22),66.67%(3),0.0%(2),58.82%(17),51.63%(215)
Priest,80.0%(5),44.44%(18),44.44%(18),54.17%(24),32.5%(40),54.55%(22),50.0%(6),0.0%(1),75.0%(4),71.43%(14),48.68%(152)
Shaman,0.0%(1),50.0%(4),50.0%(2),50.0%(2),71.43%(14),33.33%(3),100.0%(1),-,100.0%(1),25.0%(8),52.78%(36)
Warlock,100.0%(1),33.33%(3),50.0%(2),44.44%(9),66.67%(3),100.0%(2),25.0%(4),0.0%(1),-,0.0%(2),44.44%(27)
Warrior,71.43%(7),59.09%(22),46.15%(13),36.36%(22),51.16%(43),41.18%(17),28.57%(14),75.0%(8),100.0%(2),50.0%(22),49.41%(170)
