,Aggro Demon Hunter,Control Demon Hunter,Tempo Demon Hunter,Token Demon Hunter,Dragon Druid,Gibberling Druid,Guardian Druid,Malygos Druid,Spell Druid,Dragon Hunter,Face Hunter,Highlander Hunter,Freeze Mage,Highlander Mage,No Minion Mage,Small Spell Mage,Tortollan Mage,Libram Paladin,Murloc Paladin,Galakrond Dragon Priest,Galakrond Priest,Highlander Priest,Resurrect Priest,Face Rogue,Galakrond Rogue,Galakrond Secret Rogue,Quest Rogue,Secret Rogue,Stealth Rogue,Weapon Rogue,Spell Damage Shaman,Totem Shaman,Galakrond Warlock,Hand Warlock,Zoo Warlock,Big Warrior,Bomb Warrior,Enrage Warrior,Galakrond Warrior,Pirate Warrior
No Minion Mage,41.41%,47.02%,56.6%,52.42%,38.92%,53.27%,39.9%,40.57%,44.44%,35.5%,27.14%,38.46%,67.16%,55.2%,50%,51.16%,56.56%,37.9%,45%,57.98%,58.49%,55.14%,56.81%,42.64%,50.76%,50%,43.54%,48.89%,36.36%,37.6%,46.15%,43.33%,53.84%,56.86%,46.02%,42.24%,37.72%,51.78%,37.61%,38.97%
Small Spell Mage,53.29%,41.66%,59.43%,60.69%,47.6%,54.06%,42.76%,50.13%,58.06%,46.88%,46.4%,49.01%,63.92%,49.77%,48.83%,50%,59.5%,55.48%,59.17%,53.8%,48.7%,47.87%,66.44%,56.78%,53.57%,46.85%,49.89%,45.04%,59.01%,50.35%,52.56%,53.49%,46.34%,55.95%,44.38%,46.11%,32.01%,52.65%,37.04%,43.82%
Tortollan Mage,40.92%,30.44%,38.51%,49.38%,57.27%,54.97%,51.24%,30.31%,50.98%,26.49%,30.83%,21.1%,35.86%,52.29%,43.43%,40.49%,50%,58.49%,56.73%,56.1%,54.92%,55.95%,60%,40.14%,29.52%,33.33%,32.16%,48.02%,34.54%,35.63%,33.57%,54.58%,63.27%,59.8%,53.55%,56.06%,35.17%,42.1%,30.76%,40%
Libram Paladin,46.6%,65.81%,53.15%,50.36%,63.65%,57.16%,54.09%,64.27%,61.65%,61.08%,55.81%,62.06%,60.28%,43.86%,62.09%,44.49%,41.47%,50%,52.3%,50.52%,53.69%,53.35%,54.3%,56.01%,51.49%,43.97%,46.68%,41.99%,44.75%,51.14%,68.35%,59.03%,41.45%,64.34%,45.12%,61.4%,58.63%,64.53%,63.17%,63.8%
Murloc Paladin,35%,40%,38.27%,36.66%,63.33%,51.28%,45.6%,48.81%,40.38%,52.25%,53.68%,58.92%,62.74%,36.79%,55%,40.82%,43.26%,47.69%,50%,50.54%,55.64%,56.67%,57.62%,48.76%,53.33%,50.9%,56%,51.14%,48.77%,53.43%,53.33%,55.14%,48.03%,37.31%,52.02%,47.39%,50.71%,39.06%,64.93%,57.73%
Galakrond Dragon Priest,54.5%,51.87%,54.23%,65.94%,55.1%,56.47%,53.27%,48.94%,59.84%,44.71%,46.75%,42.81%,54.65%,37.23%,41.66%,46.16%,43.89%,49.47%,49.45%,50%,43.13%,42.48%,59.54%,61.51%,44.14%,39.93%,37.62%,47.66%,53.74%,41.85%,61.7%,41.27%,37.37%,55.5%,35.69%,67.44%,41.08%,66.66%,30.4%,43.15%
Galakrond Priest,50.37%,49.61%,47.49%,62.29%,54.16%,54.19%,52.13%,41%,43.38%,40.02%,46.28%,32.86%,52.94%,41.22%,41.5%,51.29%,45.07%,46.29%,44.35%,56.81%,50%,49%,70.7%,61.66%,49.66%,41.19%,36.36%,46.96%,49.36%,40.34%,58%,35.98%,40.01%,52.14%,31.88%,64.34%,38.92%,62%,22.67%,45.94%
Highlander Priest,51.83%,44.78%,51.91%,67.45%,55.93%,53.35%,56.07%,43.63%,50%,44.31%,43.94%,34.81%,55.39%,43.67%,44.85%,52.12%,44.04%,46.64%,43.32%,57.51%,50.92%,50%,71.66%,58.57%,48%,41.58%,41.42%,49.46%,49.69%,41.14%,53.72%,42.22%,37.3%,56.53%,33.68%,67.81%,40.45%,65.2%,27.03%,40.25%
Resurrect Priest,47.47%,57.57%,50%,55.79%,62.19%,43.33%,48.92%,34.81%,50.98%,39.39%,57.18%,36.92%,45.61%,28.37%,43.18%,33.55%,40%,45.69%,42.37%,40.45%,28.9%,28.33%,50%,56.86%,38.57%,30.5%,35.08%,38.72%,45.37%,30.32%,40.78%,36.44%,49.38%,49.29%,27.96%,56.02%,62.67%,64.06%,45.53%,53.61%
Face Rogue,44.62%,41.91%,50%,49.12%,43.67%,43.89%,42.41%,48.55%,50.66%,43.51%,47.27%,54.03%,80.91%,46.93%,57.35%,43.21%,59.85%,43.98%,51.23%,38.48%,38.33%,41.42%,43.13%,50%,50.46%,52.59%,59.78%,44.47%,46.83%,47.62%,54.97%,54.42%,54.44%,54.12%,66.56%,43.67%,48.84%,32.71%,54.19%,48.35%
Galakrond Rogue,46.2%,49.36%,50%,63.46%,34.91%,54.43%,33.16%,38.43%,43.63%,39.83%,47.7%,36.17%,63.03%,42.8%,49.23%,46.42%,70.47%,48.5%,46.66%,55.85%,50.33%,51.99%,61.42%,49.53%,50%,43.95%,52.52%,46.33%,36.75%,42.37%,50.42%,50%,46.12%,58.82%,35.21%,52.17%,42.99%,45.76%,46.61%,47.05%
Galakrond Secret Rogue,44.96%,45.49%,59.7%,41.5%,38.4%,54.9%,35.38%,40.52%,40.25%,53.94%,43.65%,51.72%,52.04%,50%,50%,53.14%,66.66%,55.84%,49.09%,60.06%,58.8%,58.41%,69.49%,47.4%,56.04%,50%,49.43%,47.84%,33.12%,37.19%,54.9%,55.85%,44.73%,61.53%,34.72%,59.59%,37.23%,51.72%,37.61%,46.57%
Quest Rogue,43.4%,36.07%,45.2%,52.83%,46.77%,37.09%,41.45%,38.18%,51.85%,35.44%,37.89%,33.82%,60%,46.19%,56.45%,50.1%,67.83%,53.31%,44%,62.37%,63.63%,58.39%,64.91%,40.21%,47.47%,50.56%,50%,48.2%,29.74%,33.01%,51.21%,47.24%,30.31%,59.2%,36.87%,51.03%,36.49%,41.22%,42.5%,50%
Secret Rogue,56.38%,44.72%,54.81%,63.72%,50.99%,58.1%,50.03%,57.1%,58.06%,48.83%,48.47%,51.02%,66.05%,43.9%,51.1%,54.91%,51.97%,57.97%,48.85%,52.33%,53.03%,50.47%,61.27%,55.52%,53.66%,52.15%,51.79%,50%,41.67%,45.97%,56.44%,59.55%,36.1%,45.63%,45.83%,48.37%,39.5%,51.06%,41.34%,45.94%
Stealth Rogue,47.63%,49.68%,52.29%,56.09%,58.69%,38.59%,49.89%,56.02%,54.2%,57.65%,41.12%,66.02%,76.15%,52.44%,63.63%,40.93%,65.45%,55.24%,51.22%,46.25%,50.63%,50.3%,54.62%,53.08%,63.24%,66.66%,70.25%,58.25%,50%,56.36%,61.7%,57.05%,64.18%,71.51%,74.31%,56.53%,54.84%,40.46%,61.8%,46.99%
Weapon Rogue,49.86%,50.47%,50.48%,60.86%,46.54%,46.82%,42.99%,51.1%,52.76%,49.95%,46.47%,63.94%,83.72%,51.78%,62.4%,49.64%,64.36%,48.83%,46.56%,58.11%,59.65%,58.85%,69.67%,52.37%,57.62%,62.8%,66.98%,54.02%,43.63%,50%,54.89%,58.02%,59.26%,67.39%,61.01%,57.66%,59.66%,47.14%,63.77%,47.22%
Spell Damage Shaman,39.76%,45.59%,41.77%,43.39%,40.25%,53.03%,41.81%,45.02%,54.79%,33.65%,47.54%,33.8%,81.25%,41.38%,53.84%,47.43%,66.42%,31.64%,46.66%,38.29%,42%,46.27%,59.21%,45.02%,48.71%,45.09%,48.78%,43.55%,38.29%,45.1%,50%,57.35%,42.39%,55.08%,51.53%,38.88%,45.27%,53.63%,44.44%,50%
Totem Shaman,32.21%,32.54%,34.34%,38.18%,50.71%,45.34%,48.16%,60.23%,62.5%,47.03%,40.93%,42.1%,71.82%,44.8%,56.66%,46.5%,45.41%,40.96%,44.85%,58.72%,64.01%,57.77%,63.55%,45.57%,50%,44.14%,52.75%,40.44%,42.94%,41.97%,42.64%,50%,48.09%,51.94%,40.75%,44.67%,49.58%,41.17%,52.85%,51.31%
Galakrond Warlock,45.93%,39.3%,53.43%,62.85%,49.63%,55.78%,47.31%,37.81%,49.36%,48.86%,50.89%,45.09%,42.78%,45.83%,46.15%,53.65%,36.72%,58.54%,51.96%,62.62%,59.98%,62.69%,50.61%,45.36%,53.87%,55.26%,69.68%,63.81%,35.76%,40.73%,57.6%,51.9%,50%,57.79%,34.78%,35.84%,29.74%,44.96%,34.17%,46.31%
Hand Warlock,52.98%,33.58%,51.42%,51.92%,45.96%,54.05%,43.32%,27.67%,60.37%,39.13%,37.96%,41.33%,39.75%,33.33%,43.13%,44.04%,40.19%,35.65%,62.68%,44.49%,47.85%,43.46%,50.7%,45.87%,41.17%,38.46%,40.8%,53.88%,28.48%,32.6%,44.91%,48.05%,42.2%,50%,35.16%,24.11%,24.46%,57.64%,29.67%,50%
Zoo Warlock,38.7%,40.6%,46.03%,60.2%,59.34%,46.07%,52.42%,60%,62.85%,52.7%,41.38%,52.74%,58.29%,53.65%,53.97%,55.61%,46.44%,54.82%,47.97%,64.25%,68.04%,66.23%,72.03%,33.43%,64.51%,65.27%,63.12%,54.16%,25.63%,38.98%,48.46%,59.24%,65.11%,64.83%,50%,56%,42.8%,37.81%,45.61%,50.32%
Big Warrior,53.4%,66.61%,52.24%,69.13%,45.48%,53.02%,50.73%,51.75%,57.31%,44.25%,36.67%,50.28%,67.6%,44.29%,57.75%,53.88%,43.93%,38.59%,52.6%,32.55%,35.65%,32.18%,43.97%,56.32%,47.82%,40.4%,48.96%,51.62%,43.46%,42.33%,61.11%,55.32%,64.15%,75.88%,44%,50%,60.57%,75.4%,60.32%,55.44%
Bomb Warrior,40.66%,61.03%,39.68%,72.91%,53.78%,54.17%,55.41%,48.53%,52.91%,42.22%,37.94%,38.3%,89.63%,68.18%,62.27%,67.91%,64.82%,41.34%,49.28%,58.59%,60.99%,59.33%,37.32%,51.15%,56.89%,62.76%,63.5%,60.49%,45.15%,40.33%,54.72%,50.41%,70.25%,75.26%,57.08%,39.42%,50%,44.77%,45.32%,30.87%
Enrage Warrior,61.75%,49.2%,57.89%,50%,32.95%,64.93%,30.43%,45.13%,56.86%,52.72%,60.15%,43.39%,74.64%,41.25%,48.21%,47.34%,57.89%,35.46%,60.93%,33.33%,37.99%,34.79%,35.93%,67.28%,54.23%,48.27%,58.77%,48.93%,59.53%,52.85%,46.36%,58.82%,55.03%,42.35%,62.18%,24.59%,55.22%,50%,51.72%,55.47%
Galakrond Warrior,35.58%,60.32%,41.93%,50%,53.6%,52.74%,59.16%,50.86%,52.94%,43.35%,33.5%,40.15%,88.52%,70.33%,62.38%,62.76%,69.23%,36.82%,35.06%,69.48%,77.21%,72.77%,54.46%,45.8%,53.38%,62.38%,57.5%,58.65%,38.19%,36.22%,55.55%,47.14%,65.61%,70.32%,54.21%,39.67%,54.41%,48.27%,50%,27.58%
Pirate Warrior,51.34%,47.13%,36.61%,53.87%,31.7%,49.31%,34.79%,50.4%,50.31%,48.88%,65.08%,43.61%,76.47%,47.89%,61.02%,56.17%,60%,36.19%,42.26%,56.84%,54.05%,59.74%,46.38%,51.64%,52.94%,53.37%,50%,54.05%,53%,52.77%,50%,48.68%,53.68%,50%,49.67%,44.55%,69.12%,44.52%,72.41%,50%
