0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(2),31.58%(19),10.0%(10),60.0%(20),64.71%(17),72.73%(11),50.0%(12),0.0%(1),0.0%(6),69.23%(26),50.81%(124)
Rogue,68.42%(19),50.0%(100),48.98%(49),58.46%(65),47.17%(53),50.94%(53),43.64%(55),62.5%(8),62.5%(32),47.37%(57),51.53%(491)
Mage,90.0%(10),51.02%(49),50.0%(18),55.56%(36),52.0%(25),53.12%(32),59.26%(27),66.67%(3),50.0%(12),39.13%(23),53.62%(235)
Druid,40.0%(20),41.54%(65),44.44%(36),50.0%(56),57.14%(56),52.5%(40),37.14%(35),36.36%(11),38.71%(31),58.7%(46),47.47%(396)
Demonhunter,35.29%(17),52.83%(53),48.0%(25),42.86%(56),50.0%(60),48.28%(29),57.45%(47),50.0%(4),65.0%(20),52.94%(34),50.43%(345)
Hunter,27.27%(11),49.06%(53),46.88%(32),47.5%(40),51.72%(29),50.0%(38),61.76%(34),20.0%(5),50.0%(18),50.0%(30),49.31%(290)
Priest,50.0%(12),56.36%(55),40.74%(27),62.86%(35),42.55%(47),38.24%(34),50.0%(32),50.0%(2),33.33%(15),50.0%(22),48.4%(281)
Shaman,100.0%(1),37.5%(8),33.33%(3),63.64%(11),50.0%(4),80.0%(5),50.0%(2),50.0%(4),50.0%(2),71.43%(7),57.45%(47)
Warlock,100.0%(6),37.5%(32),50.0%(12),61.29%(31),35.0%(20),50.0%(18),66.67%(15),50.0%(2),50.0%(18),47.06%(17),50.88%(171)
Warrior,30.77%(26),52.63%(57),60.87%(23),41.3%(46),47.06%(34),50.0%(30),50.0%(22),28.57%(7),52.94%(17),50.0%(38),47.67%(300)
