0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(2),30.77%(13),14.29%(7),57.14%(14),54.55%(11),50.0%(8),37.5%(8),-,25.0%(12),38.89%(18),39.78%(93)
Rogue,69.23%(13),50.0%(72),38.89%(36),61.7%(47),38.1%(42),63.33%(30),42.42%(33),62.5%(8),55.17%(29),50.0%(50),50.83%(360)
Mage,85.71%(7),61.11%(36),50.0%(12),57.14%(28),25.81%(31),51.85%(27),58.33%(24),33.33%(3),44.44%(18),25.0%(24),48.1%(210)
Druid,42.86%(14),38.3%(47),42.86%(28),50.0%(54),56.25%(48),62.5%(24),54.05%(37),75.0%(4),46.15%(26),58.49%(53),51.04%(335)
Demonhunter,45.45%(11),61.9%(42),74.19%(31),43.75%(48),50.0%(40),54.55%(22),35.14%(37),83.33%(6),53.85%(26),35.14%(37),50.67%(300)
Hunter,50.0%(8),36.67%(30),48.15%(27),37.5%(24),45.45%(22),50.0%(20),56.52%(23),40.0%(5),40.74%(27),54.55%(33),46.12%(219)
Priest,62.5%(8),57.58%(33),41.67%(24),45.95%(37),64.86%(37),43.48%(23),50.0%(18),33.33%(3),50.0%(26),45.0%(40),50.6%(249)
Shaman,-,37.5%(8),66.67%(3),25.0%(4),16.67%(6),60.0%(5),66.67%(3),-,0.0%(2),87.5%(8),48.72%(39)
Warlock,75.0%(12),44.83%(29),55.56%(18),53.85%(26),46.15%(26),59.26%(27),50.0%(26),100.0%(2),50.0%(14),52.94%(17),53.3%(197)
Warrior,61.11%(18),50.0%(50),75.0%(24),41.51%(53),64.86%(37),45.45%(33),55.0%(40),12.5%(8),47.06%(17),50.0%(44),51.85%(324)
