0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(34),41.03%(39),54.84%(31),52.83%(106),38.89%(18),62.5%(16),54.0%(50),75.0%(4),32.0%(25),58.57%(70),51.4%(393)
Rogue,58.97%(39),50.0%(42),68.18%(22),41.43%(70),46.67%(15),57.89%(19),60.0%(45),60.0%(15),59.09%(22),31.58%(38),51.07%(327)
Mage,45.16%(31),31.82%(22),50.0%(26),48.44%(64),25.0%(12),44.44%(9),43.75%(32),37.5%(8),56.52%(23),37.5%(24),44.22%(251)
Druid,47.17%(106),58.57%(70),51.56%(64),50.0%(164),50.98%(51),55.26%(38),49.45%(91),38.89%(18),59.57%(47),65.33%(75),52.76%(724)
Demonhunter,61.11%(18),53.33%(15),75.0%(12),49.02%(51),50.0%(14),50.0%(10),55.0%(20),50.0%(2),33.33%(15),50.0%(20),51.98%(177)
Hunter,37.5%(16),42.11%(19),55.56%(9),44.74%(38),50.0%(10),50.0%(10),57.14%(28),0.0%(3),42.86%(7),47.62%(21),46.58%(161)
Priest,46.0%(50),40.0%(45),56.25%(32),50.55%(91),45.0%(20),42.86%(28),50.0%(34),55.56%(9),44.44%(18),64.41%(59),50.26%(386)
Shaman,25.0%(4),40.0%(15),62.5%(8),61.11%(18),50.0%(2),100.0%(3),44.44%(9),50.0%(2),40.0%(5),50.0%(8),51.35%(74)
Warlock,68.0%(25),40.91%(22),43.48%(23),40.43%(47),66.67%(15),57.14%(7),55.56%(18),60.0%(5),50.0%(10),46.88%(32),50.0%(204)
Warrior,41.43%(70),68.42%(38),62.5%(24),34.67%(75),50.0%(20),52.38%(21),35.59%(59),50.0%(8),53.12%(32),50.0%(60),46.44%(407)
