0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(2),25.0%(8),30.0%(10),62.16%(37),33.33%(12),50.0%(8),38.46%(13),100.0%(2),38.46%(13),51.85%(27),47.73%(132)
Rogue,75.0%(8),50.0%(62),56.0%(25),48.81%(84),52.17%(46),53.57%(28),59.09%(44),50.0%(2),47.62%(21),56.25%(32),52.84%(352)
Mage,70.0%(10),44.0%(25),50.0%(12),55.56%(36),58.97%(39),60.0%(10),61.76%(34),100.0%(1),53.85%(13),30.0%(30),52.86%(210)
Druid,37.84%(37),51.19%(84),44.44%(36),50.0%(138),51.47%(68),62.71%(59),41.56%(77),50.0%(12),52.63%(38),46.07%(89),49.06%(638)
Demonhunter,66.67%(12),47.83%(46),41.03%(39),48.53%(68),50.0%(34),46.15%(26),54.84%(31),100.0%(4),48.48%(33),50.0%(24),49.53%(317)
Hunter,50.0%(8),46.43%(28),40.0%(10),37.29%(59),53.85%(26),50.0%(20),47.06%(34),100.0%(2),51.85%(27),40.0%(15),45.85%(229)
Priest,61.54%(13),40.91%(44),38.24%(34),58.44%(77),45.16%(31),52.94%(34),50.0%(22),66.67%(6),43.24%(37),42.11%(38),48.51%(336)
Shaman,0.0%(2),50.0%(2),0.0%(1),50.0%(12),0.0%(4),0.0%(2),33.33%(6),-,0.0%(4),60.0%(5),31.58%(38)
Warlock,61.54%(13),52.38%(21),46.15%(13),47.37%(38),51.52%(33),48.15%(27),56.76%(37),100.0%(4),50.0%(16),23.53%(17),50.23%(219)
Warrior,48.15%(27),43.75%(32),70.0%(30),53.93%(89),50.0%(24),60.0%(15),57.89%(38),40.0%(5),76.47%(17),50.0%(66),54.52%(343)
