0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(10),47.37%(19),35.71%(14),50.0%(54),50.0%(10),63.64%(11),41.67%(24),100.0%(1),47.37%(19),50.0%(26),48.4%(188)
Rogue,52.63%(19),50.0%(26),42.86%(35),44.79%(96),46.15%(26),66.67%(21),40.74%(54),0.0%(1),47.06%(17),53.57%(28),47.06%(323)
Mage,64.29%(14),57.14%(35),50.0%(28),51.72%(58),50.0%(16),63.64%(11),51.85%(27),60.0%(5),47.06%(17),22.22%(27),50.0%(238)
Druid,50.0%(54),55.21%(96),48.28%(58),50.0%(160),54.24%(59),53.57%(28),38.57%(70),66.67%(9),30.0%(50),54.08%(98),49.27%(682)
Demonhunter,50.0%(10),53.85%(26),50.0%(16),45.76%(59),50.0%(14),71.43%(7),33.33%(27),100.0%(1),62.5%(16),43.75%(16),48.44%(192)
Hunter,36.36%(11),33.33%(21),36.36%(11),46.43%(28),28.57%(7),50.0%(10),48.28%(29),0.0%(2),28.57%(7),33.33%(15),39.72%(141)
Priest,58.33%(24),59.26%(54),48.15%(27),61.43%(70),66.67%(27),51.72%(29),50.0%(20),70.0%(10),42.5%(40),56.76%(37),56.21%(338)
Shaman,0.0%(1),100.0%(1),40.0%(5),33.33%(9),0.0%(1),100.0%(2),30.0%(10),-,25.0%(4),42.86%(7),37.5%(40)
Warlock,52.63%(19),52.94%(17),52.94%(17),70.0%(50),37.5%(16),71.43%(7),57.5%(40),75.0%(4),50.0%(10),30.77%(13),56.48%(193)
Warrior,50.0%(26),46.43%(28),77.78%(27),45.92%(98),56.25%(16),66.67%(15),43.24%(37),57.14%(7),69.23%(13),50.0%(68),51.94%(335)
