0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(4),43.75%(16),20.0%(10),47.37%(19),33.33%(12),50.0%(6),33.33%(27),100.0%(1),37.5%(8),68.0%(25),44.53%(128)
Rogue,56.25%(16),50.0%(34),53.33%(15),55.0%(60),57.89%(19),50.0%(12),47.37%(38),40.0%(5),50.0%(8),42.86%(21),51.32%(228)
Mage,80.0%(10),46.67%(15),50.0%(28),50.0%(52),30.0%(10),45.45%(11),52.38%(21),100.0%(1),71.43%(7),35.71%(28),49.18%(183)
Druid,52.63%(19),45.0%(60),50.0%(52),50.0%(106),50.0%(34),47.37%(19),43.28%(67),33.33%(3),57.69%(26),41.07%(56),47.51%(442)
Demonhunter,66.67%(12),42.11%(19),70.0%(10),50.0%(34),50.0%(12),75.0%(4),52.0%(25),100.0%(1),85.71%(7),44.44%(9),54.89%(133)
Hunter,50.0%(6),50.0%(12),54.55%(11),52.63%(19),25.0%(4),50.0%(14),40.0%(10),-,0.0%(1),44.44%(9),47.67%(86)
Priest,66.67%(27),52.63%(38),47.62%(21),56.72%(67),48.0%(25),60.0%(10),50.0%(28),60.0%(5),53.85%(26),32.56%(43),51.38%(290)
Shaman,0.0%(1),60.0%(5),0.0%(1),66.67%(3),0.0%(1),-,40.0%(5),-,100.0%(1),66.67%(3),50.0%(20)
Warlock,62.5%(8),50.0%(8),28.57%(7),42.31%(26),14.29%(7),100.0%(1),46.15%(26),0.0%(1),50.0%(4),25.0%(8),41.67%(96)
Warrior,32.0%(25),57.14%(21),64.29%(28),58.93%(56),55.56%(9),55.56%(9),67.44%(43),33.33%(3),75.0%(8),50.0%(50),56.35%(252)
