0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,-,33.33%(6),100.0%(1),100.0%(1),20.0%(5),25.0%(4),20.0%(5),0.0%(1),50.0%(4),0.0%(1),32.14%(28)
Rogue,66.67%(6),50.0%(64),55.56%(27),52.78%(36),41.51%(53),50.0%(38),43.75%(32),50.0%(4),59.09%(22),29.17%(24),48.04%(306)
Mage,0.0%(1),44.44%(27),50.0%(10),50.0%(30),61.9%(21),54.55%(11),56.25%(16),100.0%(1),28.57%(14),38.89%(18),48.32%(149)
Druid,0.0%(1),47.22%(36),50.0%(30),50.0%(48),46.88%(32),44.44%(18),56.67%(30),100.0%(2),23.53%(17),38.46%(26),46.67%(240)
Demonhunter,80.0%(5),58.49%(53),38.1%(21),53.12%(32),50.0%(46),68.75%(16),48.15%(27),0.0%(2),52.38%(21),40.62%(32),51.37%(255)
Hunter,75.0%(4),50.0%(38),45.45%(11),55.56%(18),31.25%(16),50.0%(10),41.18%(17),0.0%(2),36.36%(11),53.85%(13),46.43%(140)
Priest,80.0%(5),56.25%(32),43.75%(16),43.33%(30),51.85%(27),58.82%(17),50.0%(10),0.0%(1),31.58%(19),40.0%(25),47.8%(182)
Shaman,100.0%(1),50.0%(4),0.0%(1),0.0%(2),100.0%(2),100.0%(2),100.0%(1),-,100.0%(1),40.0%(5),57.89%(19)
Warlock,50.0%(4),40.91%(22),71.43%(14),76.47%(17),47.62%(21),63.64%(11),68.42%(19),0.0%(1),50.0%(16),33.33%(15),55.0%(140)
Warrior,100.0%(1),70.83%(24),61.11%(18),61.54%(26),59.38%(32),46.15%(13),60.0%(25),60.0%(5),66.67%(15),50.0%(10),60.95%(169)
