0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(8),35.0%(20),27.27%(11),44.0%(50),37.5%(16),80.0%(5),52.94%(17),100.0%(2),30.0%(10),50.0%(24),44.17%(163)
Rogue,65.0%(20),50.0%(24),52.63%(19),51.47%(68),54.17%(24),60.0%(15),43.33%(30),0.0%(5),56.25%(16),56.0%(25),52.03%(246)
Mage,72.73%(11),47.37%(19),50.0%(8),41.03%(39),61.9%(21),100.0%(2),60.0%(10),100.0%(4),28.57%(7),47.06%(17),52.17%(138)
Druid,56.0%(50),48.53%(68),58.97%(39),50.0%(102),66.0%(50),64.0%(25),36.21%(58),60.0%(15),32.0%(25),58.33%(48),52.08%(480)
Demonhunter,62.5%(16),45.83%(24),38.1%(21),34.0%(50),50.0%(20),50.0%(6),48.15%(27),25.0%(4),35.71%(14),33.33%(9),42.41%(191)
Hunter,20.0%(5),40.0%(15),0.0%(2),36.0%(25),50.0%(6),50.0%(2),30.0%(10),50.0%(2),100.0%(3),28.57%(7),37.66%(77)
Priest,47.06%(17),56.67%(30),40.0%(10),63.79%(58),51.85%(27),70.0%(10),50.0%(16),80.0%(5),25.0%(12),56.67%(30),55.35%(215)
Shaman,0.0%(2),100.0%(5),0.0%(4),40.0%(15),75.0%(4),50.0%(2),20.0%(5),-,0.0%(3),0.0%(2),38.1%(42)
Warlock,70.0%(10),43.75%(16),71.43%(7),68.0%(25),64.29%(14),0.0%(3),75.0%(12),100.0%(3),50.0%(8),12.5%(8),58.49%(106)
Warrior,50.0%(24),44.0%(25),52.94%(17),41.67%(48),66.67%(9),71.43%(7),43.33%(30),100.0%(2),87.5%(8),50.0%(40),50.0%(210)
