0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(8),46.15%(26),47.62%(21),56.6%(53),71.43%(21),80.0%(10),51.35%(37),75.0%(4),51.85%(27),48.84%(43),54.4%(250)
Rogue,53.85%(26),50.0%(56),56.41%(39),52.34%(128),32.26%(31),55.0%(20),48.98%(98),50.0%(4),41.86%(43),28.85%(52),47.28%(497)
Mage,52.38%(21),43.59%(39),50.0%(36),38.64%(88),41.67%(24),33.33%(12),44.23%(52),50.0%(6),59.38%(32),37.21%(43),43.91%(353)
Druid,43.4%(53),47.66%(128),61.36%(88),50.0%(274),62.5%(64),42.86%(42),43.61%(133),66.67%(21),43.21%(81),45.99%(137),49.27%(1021)
Demonhunter,28.57%(21),67.74%(31),58.33%(24),37.5%(64),50.0%(18),45.45%(11),53.33%(60),60.0%(5),72.22%(18),43.48%(23),49.82%(275)
Hunter,20.0%(10),45.0%(20),66.67%(12),57.14%(42),54.55%(11),50.0%(8),50.0%(32),33.33%(3),40.0%(10),35.71%(14),48.77%(162)
Priest,48.65%(37),51.02%(98),55.77%(52),56.39%(133),46.67%(60),50.0%(32),50.0%(46),45.45%(11),31.11%(45),53.85%(65),50.6%(579)
Shaman,25.0%(4),50.0%(4),50.0%(6),33.33%(21),40.0%(5),66.67%(3),54.55%(11),50.0%(2),0.0%(4),35.71%(14),39.19%(74)
Warlock,48.15%(27),58.14%(43),40.62%(32),56.79%(81),27.78%(18),60.0%(10),68.89%(45),100.0%(4),50.0%(20),35.29%(34),52.55%(314)
Warrior,51.16%(43),71.15%(52),62.79%(43),54.01%(137),56.52%(23),64.29%(14),46.15%(65),64.29%(14),64.71%(34),50.0%(76),56.09%(501)
