0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(20),35.71%(28),35.29%(34),48.05%(77),57.14%(21),40.0%(10),30.0%(40),42.86%(7),32.0%(25),47.06%(51),42.17%(313)
Rogue,64.29%(28),50.0%(60),42.86%(49),48.65%(111),44.83%(29),70.0%(20),45.07%(71),62.5%(8),53.12%(32),32.56%(43),48.34%(451)
Mage,64.71%(34),57.14%(49),50.0%(42),52.94%(102),30.43%(23),53.85%(13),51.72%(58),40.0%(5),40.74%(27),44.44%(45),50.75%(398)
Druid,51.95%(77),51.35%(111),47.06%(102),50.0%(202),44.68%(47),70.0%(40),44.44%(117),100.0%(10),52.7%(74),46.24%(93),50.29%(873)
Demonhunter,42.86%(21),55.17%(29),69.57%(23),55.32%(47),50.0%(16),75.0%(12),31.71%(41),33.33%(3),80.0%(10),43.75%(16),51.83%(218)
Hunter,60.0%(10),30.0%(20),46.15%(13),30.0%(40),25.0%(12),50.0%(8),43.48%(23),66.67%(3),42.86%(7),52.94%(17),39.87%(153)
Priest,70.0%(40),54.93%(71),48.28%(58),55.56%(117),68.29%(41),56.52%(23),50.0%(44),40.0%(10),36.54%(52),35.85%(53),52.06%(509)
Shaman,57.14%(7),37.5%(8),60.0%(5),0.0%(10),66.67%(3),33.33%(3),60.0%(10),-,66.67%(3),50.0%(4),43.4%(53)
Warlock,68.0%(25),46.88%(32),59.26%(27),47.3%(74),20.0%(10),57.14%(7),63.46%(52),33.33%(3),50.0%(14),32.0%(25),51.3%(269)
Warrior,52.94%(51),67.44%(43),55.56%(45),53.76%(93),56.25%(16),47.06%(17),64.15%(53),50.0%(4),68.0%(25),50.0%(76),56.5%(423)
