0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(34),50.0%(30),42.86%(21),60.4%(101),40.74%(27),50.0%(12),58.14%(43),50.0%(6),38.89%(18),50.77%(65),52.38%(357)
Rogue,50.0%(30),50.0%(28),70.0%(10),38.89%(72),72.73%(22),50.0%(16),48.65%(37),50.0%(2),58.33%(12),42.42%(33),48.85%(262)
Mage,57.14%(21),30.0%(10),50.0%(4),68.18%(44),33.33%(6),0.0%(4),30.0%(10),0.0%(4),45.45%(11),50.0%(18),50.0%(132)
Druid,39.6%(101),61.11%(72),31.82%(44),50.0%(106),55.81%(43),45.45%(33),43.24%(74),42.86%(21),57.89%(38),58.62%(58),48.64%(590)
Demonhunter,59.26%(27),27.27%(22),66.67%(6),44.19%(43),50.0%(18),50.0%(14),37.5%(32),55.56%(9),66.67%(15),27.27%(11),46.19%(197)
Hunter,50.0%(12),50.0%(16),100.0%(4),54.55%(33),50.0%(14),50.0%(6),75.0%(20),33.33%(3),60.0%(5),37.5%(16),55.04%(129)
Priest,41.86%(43),51.35%(37),70.0%(10),56.76%(74),62.5%(32),25.0%(20),50.0%(28),66.67%(6),30.43%(23),66.67%(45),52.2%(318)
Shaman,50.0%(6),50.0%(2),100.0%(4),57.14%(21),44.44%(9),66.67%(3),33.33%(6),-,33.33%(6),50.0%(6),52.38%(63)
Warlock,61.11%(18),41.67%(12),54.55%(11),42.11%(38),33.33%(15),40.0%(5),69.57%(23),66.67%(6),50.0%(10),30.77%(13),49.01%(151)
Warrior,49.23%(65),57.58%(33),50.0%(18),41.38%(58),72.73%(11),62.5%(16),33.33%(45),50.0%(6),69.23%(13),50.0%(48),48.88%(313)
