0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,-,50.0%(8),35.71%(14),46.67%(15),61.9%(21),42.86%(7),33.33%(6),0.0%(1),100.0%(2),61.54%(13),50.57%(87)
Rogue,50.0%(8),50.0%(38),32.69%(52),56.45%(62),46.77%(62),63.89%(36),68.57%(35),50.0%(14),42.86%(7),68.42%(38),53.12%(352)
Mage,64.29%(14),67.31%(52),50.0%(78),48.35%(91),52.0%(75),50.0%(48),52.94%(51),60.0%(10),50.0%(8),53.66%(41),53.21%(468)
Druid,53.33%(15),43.55%(62),51.65%(91),50.0%(90),50.59%(85),47.62%(63),57.14%(35),100.0%(5),36.36%(11),47.17%(53),49.8%(510)
Demonhunter,38.1%(21),53.23%(62),48.0%(75),49.41%(85),50.0%(94),64.0%(50),45.28%(53),54.55%(11),81.25%(16),50.0%(68),51.4%(535)
Hunter,57.14%(7),36.11%(36),50.0%(48),52.38%(63),36.0%(50),50.0%(20),53.85%(39),100.0%(1),66.67%(6),45.95%(37),47.23%(307)
Priest,66.67%(6),31.43%(35),47.06%(51),42.86%(35),54.72%(53),46.15%(39),50.0%(22),25.0%(4),25.0%(8),53.66%(41),46.6%(294)
Shaman,100.0%(1),50.0%(14),40.0%(10),0.0%(5),45.45%(11),0.0%(1),75.0%(4),-,-,73.33%(15),50.82%(61)
Warlock,0.0%(2),57.14%(7),50.0%(8),63.64%(11),18.75%(16),33.33%(6),75.0%(8),-,50.0%(4),20.0%(10),41.67%(72)
Warrior,38.46%(13),31.58%(38),46.34%(41),52.83%(53),50.0%(68),54.05%(37),46.34%(41),26.67%(15),80.0%(10),50.0%(46),47.51%(362)
