0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(6),28.57%(28),35.71%(14),46.51%(43),25.0%(20),61.54%(13),44.44%(9),-,0.0%(9),45.83%(24),38.55%(166)
Rogue,71.43%(28),50.0%(38),40.54%(37),54.72%(106),44.19%(43),66.67%(24),47.17%(53),100.0%(3),59.09%(22),45.24%(42),52.27%(396)
Mage,64.29%(14),59.46%(37),50.0%(16),50.98%(51),37.04%(27),46.15%(13),50.0%(20),50.0%(2),50.0%(16),61.54%(39),52.77%(235)
Druid,53.49%(43),45.28%(106),49.02%(51),50.0%(140),42.67%(75),58.82%(51),40.0%(60),100.0%(3),48.94%(47),55.07%(69),48.99%(645)
Demonhunter,75.0%(20),55.81%(43),62.96%(27),57.33%(75),50.0%(38),41.67%(24),50.0%(42),66.67%(3),52.0%(25),48.28%(29),54.6%(326)
Hunter,38.46%(13),33.33%(24),53.85%(13),41.18%(51),58.33%(24),50.0%(14),52.38%(21),66.67%(3),33.33%(15),50.0%(16),45.36%(194)
Priest,55.56%(9),52.83%(53),50.0%(20),60.0%(60),50.0%(42),47.62%(21),50.0%(22),66.67%(3),24.0%(25),65.52%(29),52.11%(284)
Shaman,-,0.0%(3),50.0%(2),0.0%(3),33.33%(3),33.33%(3),33.33%(3),50.0%(2),-,50.0%(6),32.0%(25)
Warlock,100.0%(9),40.91%(22),50.0%(16),51.06%(47),48.0%(25),66.67%(15),76.0%(25),-,50.0%(16),35.29%(17),54.69%(192)
Warrior,54.17%(24),54.76%(42),38.46%(39),44.93%(69),51.72%(29),50.0%(16),34.48%(29),50.0%(6),64.71%(17),50.0%(58),48.02%(329)
