0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(32),38.24%(34),52.94%(17),60.0%(75),65.22%(23),100.0%(6),46.67%(30),80.0%(5),58.33%(12),36.84%(38),52.57%(272)
Rogue,61.76%(34),50.0%(14),86.67%(15),40.0%(35),50.0%(22),57.14%(7),75.0%(12),83.33%(6),100.0%(2),42.11%(19),56.63%(166)
Mage,47.06%(17),13.33%(15),50.0%(4),55.81%(43),50.0%(14),50.0%(2),61.54%(13),33.33%(3),33.33%(3),22.22%(9),45.53%(123)
Druid,40.0%(75),60.0%(35),44.19%(43),50.0%(108),40.54%(37),90.0%(20),37.5%(64),33.33%(12),61.54%(13),60.0%(45),48.67%(452)
Demonhunter,34.78%(23),50.0%(22),50.0%(14),59.46%(37),50.0%(26),88.89%(9),43.75%(16),66.67%(3),33.33%(6),12.5%(16),47.67%(172)
Hunter,0.0%(6),42.86%(7),50.0%(2),10.0%(20),11.11%(9),50.0%(2),62.5%(16),100.0%(2),50.0%(2),11.11%(9),29.33%(75)
Priest,53.33%(30),25.0%(12),38.46%(13),62.5%(64),56.25%(16),37.5%(16),50.0%(18),50.0%(2),52.17%(23),61.76%(34),53.51%(228)
Shaman,20.0%(5),16.67%(6),66.67%(3),66.67%(12),33.33%(3),0.0%(2),50.0%(2),-,50.0%(2),33.33%(3),42.11%(38)
Warlock,41.67%(12),0.0%(2),66.67%(3),38.46%(13),66.67%(6),50.0%(2),47.83%(23),50.0%(2),-,54.55%(11),47.3%(74)
Warrior,63.16%(38),57.89%(19),77.78%(9),40.0%(45),87.5%(16),88.89%(9),38.24%(34),66.67%(3),45.45%(11),50.0%(26),54.76%(210)
