0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(6),40.91%(22),56.52%(23),51.85%(27),66.67%(24),50.0%(14),37.5%(16),50.0%(2),21.43%(14),46.88%(32),48.33%(180)
Rogue,59.09%(22),50.0%(108),44.0%(75),53.7%(108),38.1%(84),48.78%(41),50.65%(77),57.14%(7),61.22%(49),53.85%(65),50.0%(636)
Mage,43.48%(23),56.0%(75),50.0%(64),44.87%(78),44.23%(52),46.67%(30),58.33%(72),33.33%(6),62.07%(29),36.59%(41),49.57%(470)
Druid,48.15%(27),46.3%(108),55.13%(78),50.0%(80),58.33%(72),41.86%(43),46.03%(63),100.0%(2),46.0%(50),47.62%(63),49.49%(586)
Demonhunter,33.33%(24),61.9%(84),55.77%(52),41.67%(72),50.0%(68),67.65%(34),53.57%(56),25.0%(4),68.18%(44),56.72%(67),54.46%(505)
Hunter,50.0%(14),51.22%(41),53.33%(30),58.14%(43),32.35%(34),50.0%(32),54.05%(37),14.29%(7),37.93%(29),48.94%(47),48.09%(314)
Priest,62.5%(16),49.35%(77),41.67%(72),53.97%(63),46.43%(56),45.95%(37),50.0%(50),16.67%(6),43.48%(46),46.43%(56),47.39%(479)
Shaman,50.0%(2),42.86%(7),66.67%(6),0.0%(2),75.0%(4),85.71%(7),83.33%(6),-,0.0%(1),40.0%(5),60.0%(40)
Warlock,78.57%(14),38.78%(49),37.93%(29),54.0%(50),31.82%(44),62.07%(29),56.52%(46),100.0%(1),50.0%(28),50.0%(24),48.73%(314)
Warrior,53.12%(32),46.15%(65),63.41%(41),52.38%(63),43.28%(67),51.06%(47),53.57%(56),60.0%(5),50.0%(24),50.0%(48),50.89%(448)
