0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(2),50.0%(10),41.67%(12),60.0%(20),42.86%(7),66.67%(6),33.33%(12),-,60.0%(5),60.0%(20),52.13%(94)
Rogue,50.0%(10),50.0%(30),60.87%(23),40.38%(52),43.48%(23),52.38%(21),48.57%(35),42.86%(7),100.0%(12),46.15%(26),50.21%(239)
Mage,58.33%(12),39.13%(23),50.0%(12),36.67%(30),64.29%(14),44.44%(9),40.0%(20),-,50.0%(8),26.32%(19),42.86%(147)
Druid,40.0%(20),59.62%(52),63.33%(30),50.0%(86),56.76%(37),48.15%(27),38.18%(55),57.14%(7),40.91%(22),47.17%(53),49.87%(389)
Demonhunter,57.14%(7),56.52%(23),35.71%(14),43.24%(37),50.0%(20),91.67%(12),55.88%(34),0.0%(1),66.67%(9),57.14%(21),53.93%(178)
Hunter,33.33%(6),47.62%(21),55.56%(9),51.85%(27),8.33%(12),50.0%(24),54.55%(11),100.0%(1),40.0%(10),64.29%(14),47.41%(135)
Priest,66.67%(12),51.43%(35),60.0%(20),61.82%(55),44.12%(34),45.45%(11),50.0%(10),-,30.77%(13),50.0%(30),52.73%(220)
Shaman,-,57.14%(7),-,42.86%(7),100.0%(1),0.0%(1),-,-,66.67%(3),33.33%(3),50.0%(22)
Warlock,40.0%(5),0.0%(12),50.0%(8),59.09%(22),33.33%(9),60.0%(10),69.23%(13),33.33%(3),50.0%(4),33.33%(12),44.9%(98)
Warrior,40.0%(20),53.85%(26),73.68%(19),52.83%(53),42.86%(21),35.71%(14),50.0%(30),66.67%(3),66.67%(12),50.0%(50),51.61%(248)
