0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(52),57.45%(47),52.5%(40),58.87%(141),65.52%(29),45.16%(31),50.0%(82),87.5%(8),51.28%(39),57.53%(73),55.35%(542)
Rogue,42.55%(47),50.0%(46),64.86%(37),34.25%(73),47.62%(21),40.91%(22),47.73%(44),77.78%(9),53.33%(30),54.84%(31),47.78%(360)
Mage,47.5%(40),35.14%(37),50.0%(22),50.0%(80),66.67%(9),35.0%(20),52.17%(23),62.5%(8),47.06%(17),42.11%(38),46.6%(294)
Druid,41.13%(141),65.75%(73),50.0%(80),50.0%(170),39.13%(46),60.78%(51),52.34%(107),50.0%(24),58.62%(58),53.26%(92),51.19%(842)
Demonhunter,34.48%(29),52.38%(21),33.33%(9),60.87%(46),50.0%(6),55.56%(18),42.31%(26),100.0%(5),61.54%(13),22.73%(22),48.21%(195)
Hunter,54.84%(31),59.09%(22),65.0%(20),39.22%(51),44.44%(18),50.0%(10),64.52%(31),70.0%(10),44.44%(18),63.33%(30),53.94%(241)
Priest,50.0%(82),52.27%(44),47.83%(23),47.66%(107),57.69%(26),35.48%(31),50.0%(44),46.15%(13),42.86%(35),65.15%(66),50.53%(471)
Shaman,12.5%(8),22.22%(9),37.5%(8),50.0%(24),0.0%(5),30.0%(10),53.85%(13),50.0%(6),0.0%(3),71.43%(7),38.71%(93)
Warlock,48.72%(39),46.67%(30),52.94%(17),41.38%(58),38.46%(13),55.56%(18),57.14%(35),100.0%(3),50.0%(24),48.57%(35),48.9%(272)
Warrior,42.47%(73),45.16%(31),57.89%(38),46.74%(92),77.27%(22),36.67%(30),34.85%(66),28.57%(7),51.43%(35),50.0%(62),46.49%(456)
