0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(22),47.37%(38),41.67%(12),56.84%(95),44.44%(27),52.94%(17),40.54%(37),85.71%(7),35.29%(17),63.46%(52),52.16%(324)
Rogue,52.63%(38),50.0%(30),62.5%(16),33.82%(68),46.88%(32),47.06%(17),39.58%(48),42.86%(7),62.5%(24),45.45%(33),45.69%(313)
Mage,58.33%(12),37.5%(16),50.0%(6),41.46%(41),27.27%(11),33.33%(9),66.67%(15),50.0%(4),63.64%(11),44.44%(18),46.15%(143)
Druid,43.16%(95),66.18%(68),58.54%(41),50.0%(96),55.56%(54),70.0%(30),40.51%(79),58.33%(24),58.82%(34),56.25%(64),53.16%(585)
Demonhunter,55.56%(27),53.12%(32),72.73%(11),44.44%(54),50.0%(22),71.43%(14),42.86%(35),50.0%(8),63.64%(11),42.86%(14),51.32%(228)
Hunter,47.06%(17),52.94%(17),66.67%(9),30.0%(30),28.57%(14),50.0%(16),79.17%(24),100.0%(3),50.0%(6),30.0%(20),48.08%(156)
Priest,59.46%(37),60.42%(48),33.33%(15),59.49%(79),57.14%(35),20.83%(24),50.0%(56),66.67%(3),32.0%(25),76.27%(59),55.38%(381)
Shaman,14.29%(7),57.14%(7),50.0%(4),41.67%(24),50.0%(8),0.0%(3),33.33%(3),50.0%(2),0.0%(2),20.0%(5),36.92%(65)
Warlock,64.71%(17),37.5%(24),36.36%(11),41.18%(34),36.36%(11),50.0%(6),68.0%(25),100.0%(2),50.0%(8),58.33%(24),50.62%(162)
Warrior,36.54%(52),54.55%(33),55.56%(18),43.75%(64),57.14%(14),70.0%(20),23.73%(59),80.0%(5),41.67%(24),50.0%(58),44.38%(347)
