0,1,2,3,4,5,6,7,8,9,10,11
,Paladin,Rogue,Mage,Druid,Demonhunter,Hunter,Priest,Shaman,Warlock,Warrior,Total
Paladin,50.0%(2),30.77%(13),50.0%(6),25.0%(20),40.0%(10),22.22%(9),0.0%(5),-,33.33%(6),56.25%(16),34.48%(87)
Rogue,69.23%(13),50.0%(72),48.84%(43),47.54%(61),51.67%(60),44.64%(56),51.52%(33),50.0%(2),63.64%(22),53.33%(60),50.95%(422)
Mage,50.0%(6),51.16%(43),50.0%(18),58.33%(48),48.57%(35),62.5%(24),45.45%(33),-,35.71%(14),48.0%(25),51.22%(246)
Druid,75.0%(20),52.46%(61),41.67%(48),50.0%(60),54.55%(55),53.85%(52),57.58%(33),66.67%(3),19.05%(21),47.17%(53),50.49%(406)
Demonhunter,60.0%(10),48.33%(60),51.43%(35),45.45%(55),50.0%(38),67.65%(34),48.98%(49),75.0%(4),57.14%(14),31.58%(57),48.6%(356)
Hunter,77.78%(9),55.36%(56),37.5%(24),46.15%(52),32.35%(34),50.0%(34),59.46%(37),50.0%(2),57.14%(14),61.29%(31),50.85%(293)
Priest,100.0%(5),48.48%(33),54.55%(33),42.42%(33),51.02%(49),40.54%(37),50.0%(26),66.67%(3),38.89%(18),47.37%(38),48.36%(275)
Shaman,-,50.0%(2),-,33.33%(3),25.0%(4),50.0%(2),33.33%(3),-,0.0%(1),66.67%(3),38.89%(18)
Warlock,66.67%(6),36.36%(22),64.29%(14),80.95%(21),42.86%(14),42.86%(14),61.11%(18),100.0%(1),50.0%(8),46.67%(15),54.89%(133)
Warrior,43.75%(16),46.67%(60),52.0%(25),52.83%(53),68.42%(57),38.71%(31),52.63%(38),33.33%(3),53.33%(15),50.0%(36),52.1%(334)
